"","Sample Name","AD","ASD","Control","PD","Pred","True"
"126","SRR11825932",0.0356522247802563,0.608044545633882,0.179096288721364,0.177206940864498,"ASD","Control"
"127","SRR11825933",0.178343896558382,0.346428092538013,0.0435590314525749,0.43166897945103,"PD","Control"
"128","SRR11825934",0.362944305497785,0.0532366366882878,0.165495691681799,0.418323366132129,"PD","Control"
"129","SRR11825935",0.12817297738258,0.301053761724042,0.21270949027905,0.358063770614329,"PD","Control"
"130","SRR11825936",0.184639813597831,0.174346348902698,0.354133381988546,0.286880455510925,"Control","Control"
"131","SRR11825937",0.169382999048777,0.649104526131355,0.108940857072058,0.0725716177478097,"ASD","Control"
"132","SRR11825938",0.295585913728868,0.0560147509383039,0.568349807646794,0.0800495276860338,"Control","Control"
"133","SRR11825939",0.120841763001688,0.27716758946649,0.409241480680481,0.192749166851342,"Control","Control"
"134","SRR11825940",0.133559680010807,0.489763298307462,0.30567095084746,0.0710060708342714,"ASD","Control"
"135","SRR11825941",0.209157889891446,0.315814340184817,0.442763655674973,0.0322641142487628,"Control","AD"
"136","SRR11825942",0.037470600493535,0.648847958382188,0.290228402368088,0.0234530387561888,"ASD","Control"
"137","SRR11825943",0.155898515630854,0.265288866042994,0.368201425049889,0.210611193276263,"Control","Control"
"138","SRR11825944",0.0488043229770702,0.425630127664714,0.370016876106127,0.155548673252089,"ASD","Control"
"139","SRR11825945",0.25897898394348,0.0522857008976109,0.166059452713406,0.522675862445504,"PD","Control"
"140","SRR11825946",0.0875560260707085,0.157526530928672,0.235791195402294,0.519126247598326,"PD","Control"
"141","SRR11825947",0.0344850680079042,0.775405243983768,0.1360143669364,0.0540953210719276,"ASD","Control"
"142","SRR11825948",0.255556888288419,0.0554979448214502,0.177085927292992,0.511859239597139,"PD","Control"
"143","SRR11825949",0.0623170574672465,0.275231734520935,0.582713486701466,0.0797377213103525,"Control","Control"
"144","SRR11825950",0.319301794930835,0.146427762806323,0.372989483148544,0.161280959114297,"Control","Control"
"145","SRR11825951",0.266287006319758,0.0405618689135771,0.548387909378448,0.144763215388216,"Control","Control"
"146","SRR11825952",0.905218867350351,0.0390977180656137,0.0267666321603582,0.0289167824236768,"AD","AD"
"147","SRR11825953",0.0808452848676901,0.0678340967025215,0.261248308799397,0.590072309630391,"PD","Control"
"148","SRR11825954",0.262790835056073,0.0634582037463817,0.363838830767217,0.309912130430329,"Control","Control"
"149","SRR11825955",0.265736323364409,0.0858964920699892,0.596953758100786,0.0514134264648155,"Control","Control"
"150","SRR11825956",0.0620074354883039,0.104434397527558,0.384785540217674,0.448772626766465,"PD","Control"
"151","SRR11825957",0.0481967657466811,0.173915119243239,0.745688732883851,0.0321993821262287,"Control","Control"
"152","SRR11825958",0.34385996925152,0.157272727485318,0.310483720571625,0.188383582691537,"AD","Control"
"153","SRR11825959",0.0438535538378748,0.608267059261511,0.0236893632375529,0.324190023663061,"ASD","Control"
"154","SRR11825960",0.179375745405175,0.0592853480793318,0.405979219141717,0.355359687373776,"Control","Control"
"155","SRR11825961",0.14909002446065,0.0979640244217102,0.558957618957577,0.193988332160063,"Control","Control"
"156","SRR11825962",0.139460355458532,0.167322616043196,0.311127528447043,0.38208950005123,"PD","Control"
"157","SRR11825963",0.0631343400124052,0.535833184348042,0.239891661120745,0.161140814518807,"ASD","AD"
"158","SRR11825964",0.707120411960955,0.109845081008661,0.0554182562559892,0.127616250774395,"AD","Control"
"159","SRR11825965",0.115393854577248,0.0710640013663458,0.742556514179336,0.0709856298770701,"Control","Control"
"160","SRR11825966",0.0940457601422816,0.245691336364969,0.431281952012998,0.228980951479751,"Control","Control"
"161","SRR11825967",0.279859558367492,0.0977916003088856,0.235138852506144,0.387209988817479,"PD","Control"
"162","SRR11825968",0.106354849212247,0.247548561050387,0.489088690695958,0.157007899041408,"Control","Control"
"163","SRR11825969",0.126034714275312,0.560130678755924,0.238663075809422,0.075171531159342,"ASD","Control"
"164","SRR11825970",0.495846886326899,0.0514142059170039,0.401733582597319,0.0510053251587781,"AD","AD"
"165","SRR11825971",0.486758075246894,0.0866864713859234,0.17657633055202,0.249979122815163,"AD","AD"
"166","SRR11825972",0.495716087763597,0.0492413024564994,0.372634216077334,0.0824083937025689,"AD","AD"
"167","SRR11825973",0.233854105804243,0.249076903071162,0.0431096222040747,0.47395936892052,"PD","AD"
"168","SRR11825974",0.207396333994822,0.0769719784135058,0.115258432340697,0.600373255250975,"PD","AD"
"169","SRR11825975",0.118098478206863,0.326733323249759,0.392526984496282,0.162641214047095,"Control","AD"
"170","SRR11825976",0.0422205075070744,0.0543898598680863,0.551815243269626,0.351574389355213,"Control","AD"
